junction,corridor,event_count,avg_risk_score,high_priority_rate,junction_risk_score,priority_rank
RingRoad-UllalJunction,Non-corridor,7,0.0,0.0,10.0,227
AnandRaoJunction,Non-corridor,7,0.0,0.0,10.0,228
Ring road-Near Kengunte Junction,Non-corridor,7,0.0,0.0,10.0,229
ChaudrayaCircle/UdayaTVCircle(CantonmentJunc),Non-corridor,7,0.002857142857142857,0.0,10.0,230
BinnyMillJunction,Non-corridor,7,0.0,0.0,10.0,231
YelhankaCircle,Non-corridor,3,3.783333333333333,0.0,9.69,232
CommandoHospitalJunc,Non-corridor,6,0.051666666666666666,0.0,9.4,233
GangammagudiJunc,Non-corridor,6,0.041666666666666664,0.0,9.39,234
HainsJunc,Non-corridor,6,0.01,0.0,9.37,235
K H Road-SiddaiahRdJunc(BMTC-BigBazaar),Non-corridor,6,0.0,0.0,9.36,236
MICO Bande,Non-corridor,6,0.006666666666666667,0.0,9.36,237
UrvashiJunction,Non-corridor,6,0.0,0.0,9.36,238
LalbaghMainGateJunc,Non-corridor,6,0.0,0.0,9.36,239
HoodiJunction,Non-corridor,6,0.0,0.0,9.36,240
WilsonGarden10thCrossJunc,Non-corridor,6,0.0,0.0,9.36,241
"PriyadarshiniHotel,Jayamahal,RT Nagar",Non-corridor,6,0.0033333333333333335,0.0,9.36,242
RRR(Okalipuram)Junction,Non-corridor,6,0.0,0.0,9.36,243
EliteJunc,Non-corridor,6,0.0,0.0,9.36,244
PlatformRdJunction,Non-corridor,6,0.0,0.0,9.36,245
ElectronicCityGate-2Junc,Non-corridor,6,0.0,0.0,9.36,246
NIMHANS Junction,Non-corridor,6,0.0,0.0,9.36,247
BTM16thMain-ORR Junc,Non-corridor,6,0.008333333333333333,0.0,9.36,248
SagarTheatreJunc,Non-corridor,6,0.0,0.0,9.36,249
MargosaRd-18thCrossJunc,Non-corridor,6,0.0016666666666666668,0.0,9.36,250
KonanakunteJunction(KanakapurarRd),Non-corridor,6,0.0,0.0,9.36,251
RajajinagarEntranceJunction,Non-corridor,5,0.072,0.0,8.67,252
PotteryCircle,Non-corridor,5,0.027999999999999997,0.0,8.64,253
29thMainRdBTM LayoutJunc,Non-corridor,5,0.018,0.0,8.63,254
Krupanidhi College,Non-corridor,5,0.014000000000000002,0.0,8.63,255
Malleswaram18thCrossRd-SampigeRdJunc,Non-corridor,5,0.002,0.0,8.62,256
Shivashankara circle,Non-corridor,5,0.0,0.0,8.62,257
SiddapuraJunction,Non-corridor,5,0.0,0.0,8.62,258
28thMainJayanagarJunc,Non-corridor,5,0.0,0.0,8.62,259
MintoJunction,Non-corridor,5,0.0,0.0,8.62,260
JP Nagar 9th cross-24th main jn,Non-corridor,5,0.01,0.0,8.62,261
DomlurWaterTank,Non-corridor,4,0.2675,0.0,7.95,262
BhashyamCircle-SadashivNagar,Non-corridor,4,0.0975,0.0,7.82,263
PoliceCornerJunc,Non-corridor,3,1.4333333333333333,0.0,7.81,264
D'SouzaCircle,Non-corridor,4,0.065,0.0,7.79,265
CIL CrossJunction-JayamahalRd,Non-corridor,4,0.02,0.0,7.76,266
VetenaryHospitalJunc-Shivajinagar,Non-corridor,4,0.0075,0.0,7.75,267
TC Palya-OM RoadJunc,Non-corridor,4,0.0,0.0,7.74,268
DevangaHostelJunction,Non-corridor,3,0.06999999999999999,0.0,6.72,269
ShankarMuttCircle,Non-corridor,3,0.06,0.0,6.71,270
Dr RajkumarRd-10thCrossRdJunc,Non-corridor,3,0.056666666666666664,0.0,6.71,271
ASC Junction,Non-corridor,3,0.03666666666666667,0.0,6.7,272
GopalGowdaJUnc,Non-corridor,3,0.03333333333333333,0.0,6.69,273
Dr TCM RoyanRd near AmbedkarStatue,Non-corridor,3,0.023333333333333334,0.0,6.69,274
LowerAgaram(IndiaGarage)Junc,Non-corridor,3,0.023333333333333334,0.0,6.69,275
HosmatJunction,Non-corridor,3,0.016666666666666666,0.0,6.68,276
HalliThindi,Non-corridor,3,0.0,0.0,6.67,277
DoddaballapuraCrossJunc,Non-corridor,3,0.0,0.0,6.67,278
NandiCross(RaniCross),Non-corridor,3,0.0,0.0,6.67,279
Basappa Circle Junction,Non-corridor,3,0.01,0.0,6.67,280
South end circle,Non-corridor,3,0.0,0.0,6.67,281
LinkRoadMalleswaramJunc,Non-corridor,3,0.0,0.0,6.67,282
RajeshwariJunc,Non-corridor,2,1.27,0.0,6.3,283
BigBazaarJunction(OldMadrasRd),Non-corridor,2,0.455,0.0,5.65,284
BasavamantapaJunc-Dr RajkumarRd,Non-corridor,2,0.395,0.0,5.6,285
IndianExpressJunction,Non-corridor,2,0.33499999999999996,0.0,5.55,286
BhashyamCircle,Non-corridor,2,0.16499999999999998,0.0,5.42,287
BEML GateJunc(SuranjandasRd),Non-corridor,2,0.175,0.0,5.42,288
Shivajinagar(BRV)Junction,Non-corridor,2,0.155,0.0,5.41,289
HesaraghattaJunction,Non-corridor,2,0.125,0.0,5.38,290
Kadubeesanahalli-ORR Junc,Non-corridor,1,2.48,0.0,5.32,291
NTTF JunctionPeenya,Non-corridor,2,0.05,0.0,5.32,292
MaharajaJunction,Non-corridor,2,0.035,0.0,5.31,293
KanakapuraRd-RingRdJunction,Non-corridor,2,0.02,0.0,5.3,294
BegumMahalJunc,Non-corridor,2,0.015,0.0,5.3,295
NavarangBarJunc-Dr RajkumarRd,Non-corridor,2,0.01,0.0,5.29,296
Geethanjali jn,Non-corridor,2,0.005,0.0,5.29,297
Minerva Circle,Non-corridor,2,0.01,0.0,5.29,298
NGV RearGateJunc,Non-corridor,2,0.01,0.0,5.29,299
